date,GDP,UNRATE,CPIAUCSL,RSAFS,INDPRO,Inflation_Level,GDP_Growth_Rate,GDP_Growth_Stage
2000-01-01,10002.179,4.0,169.3,268044.0,91.4092,High,,
2000-02-01,,4.1,170.0,272020.0,91.7245,High,0.0,Recession
2000-03-01,,4.0,171.0,275192.0,92.083,High,0.0,Recession
2000-04-01,10247.72,3.8,170.9,271046.0,92.6659,High,2.4548750827194654,Growth
2000-05-01,,4.0,171.2,271394.0,92.9347,High,0.0,Recession
2000-06-01,,4.0,172.2,273422.0,93.0018,High,0.0,Recession
2000-07-01,10318.165,4.0,172.7,272630.0,92.8373,High,0.6874212019844617,Stagnation
2000-08-01,,4.1,172.7,272918.0,92.591,High,0.0,Recession
2000-09-01,,3.9,173.6,277548.0,92.9827,High,0.0,Recession
2000-10-01,10435.744,3.9,173.9,276927.0,92.64,High,1.1395340159805478,Stagnation
2000-11-01,,3.9,174.2,276029.0,92.6604,High,0.0,Recession
2000-12-01,,3.9,174.6,275791.0,92.3457,High,0.0,Recession
2001-01-01,10470.231,4.2,175.6,278834.0,91.8908,High,0.33046996936680895,Stagnation
2001-02-01,,4.2,176.0,278773.0,91.2851,High,0.0,Recession
2001-03-01,,4.3,176.1,276450.0,91.0585,High,0.0,Recession
2001-04-01,10599.0,4.4,176.4,280808.0,90.7384,High,1.2298582524110424,Stagnation
2001-05-01,,4.3,177.3,281496.0,90.2607,High,0.0,Recession
2001-06-01,,4.5,177.7,280401.0,89.7811,High,0.0,Recession
2001-07-01,10598.02,4.6,177.4,279504.0,89.2352,High,-0.00924615529767081,Recession
2001-08-01,,4.9,177.4,281413.0,89.157,High,0.0,Recession
2001-09-01,,5.0,178.1,276084.0,88.6749,High,0.0,Recession
2001-10-01,10660.465,5.3,177.6,294540.0,88.4051,High,0.5892138342822539,Stagnation
2001-11-01,,5.5,177.5,287111.0,87.886,High,0.0,Recession
2001-12-01,,5.7,177.4,283705.0,87.8518,High,0.0,Recession
2002-01-01,10783.5,5.7,177.7,283508.0,88.4634,High,1.1541241399882551,Stagnation
2002-02-01,,5.7,178.0,285054.0,88.4578,High,0.0,Recession
2002-03-01,,5.7,178.5,284262.0,89.1265,High,0.0,Recession
2002-04-01,10887.46,5.9,179.3,288833.0,89.5507,High,0.9640654703945817,Stagnation
